LAT,LNG,HEADING,#MATCHES
51.4558520971,-2.60307647288,0,4
51.4558520971,-2.60307647288,20,0
51.4558520971,-2.60307647288,40,5
51.4558520971,-2.60307647288,60,0
51.4558520971,-2.60307647288,80,0
51.4558520971,-2.60307647288,100,2
51.4558520971,-2.60307647288,120,1
51.4558520971,-2.60307647288,140,0
51.4558520971,-2.60307647288,160,1
51.4558520971,-2.60307647288,180,4
51.4558520971,-2.60307647288,200,2
51.4558520971,-2.60307647288,220,2
51.4558520971,-2.60307647288,240,1
51.4558520971,-2.60307647288,260,3
51.4558520971,-2.60307647288,280,3
51.4558520971,-2.60307647288,300,4
51.4558520971,-2.60307647288,320,0
51.4558520971,-2.60307647288,340,15
51.4573495854,-2.60340048373,0,4
51.4573495854,-2.60340048373,20,0
51.4573495854,-2.60340048373,40,5
51.4573495854,-2.60340048373,60,0
51.4573495854,-2.60340048373,80,6
51.4573495854,-2.60340048373,100,0
51.4573495854,-2.60340048373,120,0
51.4573495854,-2.60340048373,140,0
51.4573495854,-2.60340048373,160,4
51.4573495854,-2.60340048373,180,4
51.4573495854,-2.60340048373,200,4
51.4573495854,-2.60340048373,220,4
51.4573495854,-2.60340048373,240,2
51.4573495854,-2.60340048373,260,6
51.4573495854,-2.60340048373,280,0
51.4573495854,-2.60340048373,300,3
51.4573495854,-2.60340048373,320,2
51.4573495854,-2.60340048373,340,0
51.4571998366,-2.60340048373,0,0
51.4571998366,-2.60340048373,20,5
51.4571998366,-2.60340048373,40,0
51.4571998366,-2.60340048373,60,0
51.4571998366,-2.60340048373,80,0
51.4571998366,-2.60340048373,100,0
51.4571998366,-2.60340048373,120,0
51.4571998366,-2.60340048373,140,5
51.4571998366,-2.60340048373,160,3
51.4571998366,-2.60340048373,180,4
51.4571998366,-2.60340048373,200,6
51.4571998366,-2.60340048373,220,0
51.4571998366,-2.60340048373,240,0
51.4571998366,-2.60340048373,260,4
51.4571998366,-2.60340048373,280,4
51.4571998366,-2.60340048373,300,6
51.4571998366,-2.60340048373,320,6
51.4571998366,-2.60340048373,340,3
51.4570500877,-2.60340048373,0,4
51.4570500877,-2.60340048373,20,0
51.4570500877,-2.60340048373,40,0
51.4570500877,-2.60340048373,60,0
51.4570500877,-2.60340048373,80,0
51.4570500877,-2.60340048373,100,6
51.4570500877,-2.60340048373,120,5
51.4570500877,-2.60340048373,140,0
51.4570500877,-2.60340048373,160,2
51.4570500877,-2.60340048373,180,3
51.4570500877,-2.60340048373,200,2
51.4570500877,-2.60340048373,220,0
51.4570500877,-2.60340048373,240,0
51.4570500877,-2.60340048373,260,0
51.4570500877,-2.60340048373,280,4
51.4570500877,-2.60340048373,300,4
51.4570500877,-2.60340048373,320,4
51.4570500877,-2.60340048373,340,2
51.4569003389,-2.60340048373,0,0
51.4569003389,-2.60340048373,20,0
51.4569003389,-2.60340048373,40,6
51.4569003389,-2.60340048373,60,0
51.4569003389,-2.60340048373,80,6
51.4569003389,-2.60340048373,100,0
51.4569003389,-2.60340048373,120,0
51.4569003389,-2.60340048373,140,0
51.4569003389,-2.60340048373,160,1
51.4569003389,-2.60340048373,180,4
51.4569003389,-2.60340048373,200,5
51.4569003389,-2.60340048373,220,2
51.4569003389,-2.60340048373,240,0
51.4569003389,-2.60340048373,260,4
51.4569003389,-2.60340048373,280,0
51.4569003389,-2.60340048373,300,5
51.4569003389,-2.60340048373,320,0
51.4569003389,-2.60340048373,340,0
51.4567505901,-2.60340048373,0,0
51.4567505901,-2.60340048373,20,0
51.4567505901,-2.60340048373,40,6
51.4567505901,-2.60340048373,60,0
51.4567505901,-2.60340048373,80,7
51.4567505901,-2.60340048373,100,6
51.4567505901,-2.60340048373,120,6
51.4567505901,-2.60340048373,140,0
51.4567505901,-2.60340048373,160,4
51.4567505901,-2.60340048373,180,0
51.4567505901,-2.60340048373,200,0
51.4567505901,-2.60340048373,220,0
51.4567505901,-2.60340048373,240,0
51.4567505901,-2.60340048373,260,0
51.4567505901,-2.60340048373,280,4
51.4567505901,-2.60340048373,300,4
51.4567505901,-2.60340048373,320,4
51.4567505901,-2.60340048373,340,3
51.4566008412,-2.60340048373,0,0
51.4566008412,-2.60340048373,20,0
51.4566008412,-2.60340048373,40,6
51.4566008412,-2.60340048373,60,0
51.4566008412,-2.60340048373,80,0
51.4566008412,-2.60340048373,100,6
51.4566008412,-2.60340048373,120,6
51.4566008412,-2.60340048373,140,5
51.4566008412,-2.60340048373,160,1
51.4566008412,-2.60340048373,180,0
51.4566008412,-2.60340048373,200,0
51.4566008412,-2.60340048373,220,0
51.4566008412,-2.60340048373,240,5
51.4566008412,-2.60340048373,260,1
51.4566008412,-2.60340048373,280,5
51.4566008412,-2.60340048373,300,5
51.4566008412,-2.60340048373,320,0
51.4566008412,-2.60340048373,340,0
51.4564510924,-2.60340048373,0,6
51.4564510924,-2.60340048373,20,0
51.4564510924,-2.60340048373,40,6
51.4564510924,-2.60340048373,60,6
51.4564510924,-2.60340048373,80,0
51.4564510924,-2.60340048373,100,0
51.4564510924,-2.60340048373,120,2
51.4564510924,-2.60340048373,140,2
51.4564510924,-2.60340048373,160,3
51.4564510924,-2.60340048373,180,4
51.4564510924,-2.60340048373,200,0
51.4564510924,-2.60340048373,220,0
51.4564510924,-2.60340048373,240,0
51.4564510924,-2.60340048373,260,0
51.4564510924,-2.60340048373,280,0
51.4564510924,-2.60340048373,300,4
51.4564510924,-2.60340048373,320,4
51.4564510924,-2.60340048373,340,6
51.4563013436,-2.60340048373,0,6
51.4563013436,-2.60340048373,20,6
51.4563013436,-2.60340048373,40,0
51.4563013436,-2.60340048373,60,0
51.4563013436,-2.60340048373,80,0
51.4563013436,-2.60340048373,100,0
51.4563013436,-2.60340048373,120,1
51.4563013436,-2.60340048373,140,3
51.4563013436,-2.60340048373,160,2
51.4563013436,-2.60340048373,180,1
51.4563013436,-2.60340048373,200,6
51.4563013436,-2.60340048373,220,3
51.4563013436,-2.60340048373,240,2
51.4563013436,-2.60340048373,260,0
51.4563013436,-2.60340048373,280,6
51.4563013436,-2.60340048373,300,0
51.4563013436,-2.60340048373,320,5
51.4563013436,-2.60340048373,340,0
51.4561515948,-2.60340048373,0,0
51.4561515948,-2.60340048373,20,0
51.4561515948,-2.60340048373,40,0
51.4561515948,-2.60340048373,60,0
51.4561515948,-2.60340048373,80,0
51.4561515948,-2.60340048373,100,4
51.4561515948,-2.60340048373,120,2
51.4561515948,-2.60340048373,140,2
51.4561515948,-2.60340048373,160,1
51.4561515948,-2.60340048373,180,0
51.4561515948,-2.60340048373,200,4
51.4561515948,-2.60340048373,220,0
51.4561515948,-2.60340048373,240,0
